 Tue, 27 Nov 2001 21:28:20 -0800 (PST)enron_update@concureworkplace.com@ENRON|steffes|
 Wed, 19 Dec 2001 13:46:47 -0800 (PST)
 Tue, 23 Oct 2001 23:23:45 -0700 (PDT)
 Tue, 23 Oct 2001 15:19:57 -0700 (PDT)
 Tue, 23 Oct 2001 11:21:39 -0700 (PDT)
 Mon, 22 Oct 2001 09:49:53 -0700 (PDT)
 Wed, 26 Dec 2001 11:53:49 -0800 (PST)
 Fri, 21 Dec 2001 06:51:09 -0800 (PST)
 Tue, 23 Oct 2001 17:33:03 -0700 (PDT)
 Thu, 18 Oct 2001 09:06:07 -0700 (PDT)
 Tue, 27 Nov 2001 07:37:50 -0800 (PST)
 Wed, 21 Nov 2001 12:33:07 -0800 (PST)
 Tue, 20 Nov 2001 16:11:44 -0800 (PST)
 Mon, 29 Oct 2001 17:27:54 -0800 (PST)
 Mon, 26 Nov 2001 12:16:54 -0800 (PST)
 Wed, 26 Dec 2001 11:33:40 -0800 (PST)
 Fri, 23 Nov 2001 05:40:48 -0800 (PST)
 Tue, 27 Nov 2001 13:17:47 -0800 (PST)
 Sun, 30 Dec 2001 23:01:27 -0800 (PST)
 Tue, 20 Nov 2001 17:37:49 -0800 (PST)
 Wed, 7 Nov 2001 15:18:38 -0800 (PST)
